field,system,layer,train_n,validation_n,test_n,test_balanced_accuracy,test_macro_f1,validation_balanced_accuracy,validation_macro_f1
proposer,subjectesis,24,1226,166,346,1.0,1.0,0.9694496268656716,0.9532526049000282
proposer,subjectesis,25,1226,166,346,1.0,1.0,0.9850746268656716,0.9630124777183601
proposer,subjectesis,26,1226,166,346,1.0,1.0,0.9694496268656716,0.9532526049000282
proposer,subjectesis,27,1226,166,346,1.0,1.0,0.9694496268656716,0.9532526049000282
proposer,subjectesis,28,1226,166,346,1.0,1.0,0.9694496268656716,0.9532526049000282
proposer,subjectesis,29,1226,166,346,1.0,1.0,0.9694496268656716,0.9532526049000282
proposer,subjectesis,30,1226,166,346,1.0,1.0,0.9694496268656716,0.9532526049000282
proposer,subjectesis,31,1226,166,346,1.0,1.0,0.9694496268656716,0.9532526049000282
proposer,subjectesis,32,1226,166,346,1.0,1.0,0.9694496268656716,0.9532526049000282
seen,base,0,1226,166,346,0.5,0.3951048951048951,0.5,0.3805970149253731
seen,base,1,1226,166,346,0.6669985250737462,0.6615605509938529,0.6371017156862745,0.6353030303030303
seen,base,2,1226,166,346,0.6022861356932153,0.6020829691510796,0.6588541666666667,0.6631493506493507
seen,base,3,1226,166,346,0.6305309734513274,0.6319561079386407,0.6654411764705883,0.6621438263229308
seen,base,4,1226,166,346,0.6423672566371681,0.6468027734976888,0.6459865196078431,0.6471497584541064
seen,base,5,1226,166,346,0.6761061946902654,0.6732054635280442,0.6409313725490196,0.6349200432400194
seen,base,6,1226,166,346,0.6361356932153392,0.635312124794926,0.6410845588235294,0.6418554476806904
seen,base,7,1226,166,346,0.6650442477876106,0.6604391943601611,0.6439950980392157,0.6439950980392157
seen,base,8,1226,166,346,0.6515117994100295,0.6437422332682408,0.6948529411764706,0.6948529411764706
seen,base,9,1226,166,346,0.6775442477876106,0.6714091169724771,0.6881127450980392,0.6921923699057088
seen,base,10,1226,166,346,0.684697640117994,0.6820634126370377,0.7066482843137255,0.7094176683393628
seen,base,11,1226,166,346,0.7182890855457227,0.712914862914863,0.7457107843137255,0.7457107843137255
seen,base,12,1226,166,346,0.7084070796460177,0.6955083075190087,0.7408088235294117,0.7401000496429526
seen,base,13,1226,166,346,0.7530604719764011,0.7381371444663475,0.748468137254902,0.7358937358937359
seen,base,14,1226,166,346,0.7984882005899705,0.7871186924304707,0.7985600490196079,0.8011207729468599
seen,base,15,1226,166,346,0.8252949852507374,0.8227459016393442,0.8543198529411764,0.8584057071960298
seen,base,16,1226,166,346,0.869948377581121,0.8670594262295082,0.8327205882352942,0.8297823857810185
seen,base,17,1226,166,346,0.8802359882005899,0.8743097936646325,0.8621323529411764,0.8652753623188405
seen,base,18,1226,166,346,0.9126474926253687,0.9110376492194674,0.8817401960784313,0.889467705926129
seen,base,19,1226,166,346,0.8974188790560471,0.8927777170148383,0.8817401960784313,0.889467705926129
seen,base,20,1226,166,346,0.9121312684365781,0.9057323452484742,0.8797487745098039,0.8841501240694789
